图片,商家编码,店铺,品牌,分类,货品编号,货品名称,货品简称,规格码,规格名称,均价,零售价,批发价,会员价,市场价,最低价,ERP价格,自定义价格2,折扣率,发货总量,发货赠品总量,退货总量,批次,批次发货量,实际销售量,邮资收入,发货总金额,未知成本销售总额,佣金成本,货品总成本,货品总利润,退货总金额,退货总成本,发货总金额-发货后实际退款金额,实际货品总成本,实际货品总利润,毛利率%,发货后实际退款金额,发货总金额-退货总金额,单品支付总额,sku_full_id,is_zero_sales
https://img.alicdn.com/bao/uploaded/i2/2139477295/TB2.7jRrBnTBKNjSZPfXXbf1XXa_!!2139477295.jpg,ZB43A,TMT运动户外旗舰店,TMT,收纳袋,ZB43,ZB43收纳袋,ZB43,ZB43A,27*20 双绳,0.48,100,0,0,0,0,0.45,0,0.0048,1376,1350,24,,,1352,0,659.88,0,0,371.52,288.36,0,6.48,659.88,365.04,294.84,44.6807,0,659.88,659.88,ZB43-ZB43A,否
https://img.alicdn.com/bao/uploaded/i4/2139477295/O1CN01jVk02f23l9ujNS8eG_!!2139477295.jpg,YF66XXLA,TMT运动户外旗舰店,TMT,运动护腰,YF66,YF66护腰,YF66,XXLA,XXL,53.32,100,0,0,0,0,28.8,0,0.5332,14,0,1,,,13,2.21,746.46,0,0,335.98,410.48,52.6,24,746.46,311.99,381.88,55.0363,0,693.86,748.67,YF66-XXLA,否
https://img.alicdn.com/bao/uploaded/i4/2139477295/O1CN01jVk02f23l9ujNS8eG_!!2139477295.jpg,YF66XLA,TMT运动户外旗舰店,TMT,运动护腰,YF66,YF66护腰,YF66,XLA,XL,52.77,100,0,0,0,0,28.8,0,0.5277,30,0,3,,,27,0,1582.95,0,0,719.99,862.96,165,72,1582.95,647.99,769.96,54.3006,0,1417.95,1582.95,YF66-XLA,否
https://img.alicdn.com/bao/uploaded/i4/2139477295/O1CN01jVk02f23l9ujNS8eG_!!2139477295.jpg,YF66LA,TMT运动户外旗舰店,TMT,运动护腰,YF66,YF66护腰,YF66,LA,L,50.89,100,0,0,0,0,28.8,0,0.5089,63,0,5,,,58,0,3205.79,0,0,1500.74,1705.05,268.6,119.11,3205.79,1381.63,1555.56,52.9608,0,2937.19,3205.79,YF66-LA,否
https://img.alicdn.com/bao/uploaded/i3/2139477295/O1CN01HaYx7d23l9q1G4sYR_!!2139477295.jpg,PS01-29-3*15A,TMT运动户外旗舰店,TMT,配件,PS01,束腰带连接扣PS01,PS01,29-3*15A,29CM-3*15扣,33,100,0,0,0,0,2.65,0,0.3300,4,0,0,,,4,0,132.01,0,0,8.97,123.04,0,0,132.01,8.97,123.04,93.2064,0,132.01,132.01,PS01-29-3*15A,否
https://img.alicdn.com/bao/uploaded/i2/2139477295/O1CN01yWNDA623l9swQ9UbO_!!2139477295.jpg,YS26heiseMA,TMT运动户外旗舰店,TMT,暴汗护腰,YS26,YS26护腰,YS26,heiseMA,黑色M,43.7,100,0,0,0,0,21.5,0,0.4370,2,0,0,,,2,0,87.4,0,0,39.73,47.67,0,0,87.4,39.73,47.67,54.5474,0,87.4,87.4,YS26-heiseMA,否
https://img.alicdn.com/bao/uploaded/i2/2139477295/O1CN01yWNDA623l9swQ9UbO_!!2139477295.jpg,YS26heiseLA,TMT运动户外旗舰店,TMT,暴汗护腰,YS26,YS26护腰,YS26,heiseLA,黑色L,46,100,0,0,0,0,21.5,0,0.4600,82,0,6,,,76,0,3771.6,0,0,1640.06,2131.54,280.8,120,3771.6,1520.05,1970.75,56.4554,0,3490.8,3771.6,YS26-heiseLA,否
https://img.alicdn.com/bao/uploaded/i2/2139477295/O1CN01yWNDA623l9swQ9UbO_!!2139477295.jpg,YS26heiseSA,TMT运动户外旗舰店,TMT,暴汗护腰,YS26,YS26护腰,YS26,heiseSA,黑色S,41.08,100,0,0,0,0,21.5,0,0.4108,5,0,3,,,2,0,205.4,0,0,36.26,169.14,118,21.76,205.4,14.5,72.9,83.405,0,87.4,205.4,YS26-heiseSA,否
https://img.alicdn.com/bao/uploaded/i1/2139477295/O1CN01b0plPU23l9uQ2caSm_!!2139477295.jpg,YS34-28wkSA,TMT运动户外旗舰店,TMT,束腰带,YS34,YS34束腰带,YS34,28-wkSA,黑色+银色涂层S 28cm,188.8,100,0,0,0,0,70,0,1.8880,2,0,0,,,2,0,377.6,0,0,0,377.6,0,0,377.6,0,377.6,100,0,377.6,377.6,YS34-28-wkSA,否
https://img.alicdn.com/bao/uploaded/i2/2139477295/O1CN01gx8KeE23l9pHKlc7u_!!2139477295.jpg,W47fenhuiSA,TMT运动户外旗舰店,TMT,手套,W47,W47健身手套,W47,fenhuiSA,粉灰色S,28.9,100,0,0,0,0,20.3,0,0.2890,4,0,0,,,4,0,115.6,0,0,57.2,58.4,0,0,115.6,57.2,58.4,50.519,0,115.6,115.6,W47-fenhuiSA,否
