module_id,reuse_idx,product_name,product_code,reuse_position,product_image_id,remark,factory_src,module_type_sheet
02.06.11,01,TMT扭伤护踝灰色,HH45,主体,ID_4283FD9D13EB44F596D12EF183AC6379,,博凯,面料模块
02.06.12,01,二级防护骨折护踝,HH23,附件,ID_AAAAD53355A34645BBFE9BEF36434DD2,,博凯,面料模块
02.06.12,02,二级防护骨折护踝,HH31,附件,ID_22FBC526A18C49F4966E87ED3D83B179,,博凯,面料模块
02.06.12,03,二级防护骨折护踝,C-HH23-J,附件,ID_DA4EEB9D8310436A9D34AA377A19A620,,博凯,面料模块
02.06.13,01,seruna二级防护骨折护踝黑色,HH23,附件,ID_4BA148ED39A44BDB96A7F26EA9326425,,博凯,面料模块
02.06.16,01,拇指护腕,C-HW125,主体,ID_3BC08C78540F40E2B0250888CA99A400,,博凯,面料模块
02.07.01,01,seruna骨折护腕卡扣款黑色,HW63,附件,ID_F5DEDA68C75747C5B63204F341F39359,,博凯,面料模块
02.07.01,02,seruna二级防护骨折护踝黑色,HH23,附件,ID_4BA148ED39A44BDB96A7F26EA9326425,,博凯,面料模块
02.07.01,03,SERUNA扭伤护踝透气版黑色,HH25,附件,ID_DF15C9B39700459F8C964B883278D9E2,,博凯,面料模块
02.07.01,04,TMT腱鞘护腕黑色,HW77,附件,ID_F9C4ADD8351F4F65A3946C154492E812,,博凯,面料模块
02.07.01,05,JAFFICK护腕黑色,JHW38,附件,ID_B531DADDA37D476BA9DD2D03AB22AD21,,博凯,面料模块
02.07.01,06,seruna骨折护踝黑色,HH43,附件,ID_4283E195B5B54BBC855E86EDD8484350,,博凯,面料模块
02.07.01,07,TMT扭伤护踝黑色,HH45,附件,ID_38AE6D05B5E34BDE82C20DE823DC39B0,,博凯,面料模块
02.07.01,08,seruna mini保暖护膝黑色,C-HX95,附件,ID_03B7E16E9966404EB3D38B1E98641BCD,,博凯,面料模块
02.07.01,09,二级防护骨折护踝,C-HH23-J,附件,ID_DA4EEB9D8310436A9D34AA377A19A620,,博凯,面料模块
02.07.01,10,扭伤护踝,C-HH55,附件,ID_C4C8E1CBEF7F471FBA339C2320321C31,,博凯,面料模块
02.07.02,01,seruna骨折护腕卡扣款灰色,HW63,附件,ID_5C9F143A71D7451C80B27C380BD05669,,博凯,面料模块
02.07.02,02,seruna二级防护骨折护踝灰色,HH23,附件,ID_4BA148ED39A44BDB96A7F26EA9326425,,博凯,面料模块
02.07.02,03,seruna扭伤护踝透气版灰色,HH25,附件,ID_C23301DCBADF4472AC7FDF47C6CEA86D,,博凯,面料模块
02.07.02,04,TMT腱鞘护腕灰色,HW77,附件,ID_545F93133AF04C96B19A9B02DC593C2E,,博凯,面料模块
